datetime,A,B,C,D,E,F,G,H,I,J
02/05/2018 8:50,0,0,0,0,0,0,0,0,0,0
02/05/2018 8:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:20,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:25,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:30,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:35,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:40,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:45,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:50,0,0,0,0,0,0,0,0,0,0
02/05/2018 9:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:20,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:25,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:30,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:35,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:40,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:45,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:50,0,0,0,0,0,0,0,0,0,0
02/05/2018 10:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:20,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:25,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:30,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:35,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:40,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:45,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:50,0,0,0,0,0,0,0,0,0,0
02/05/2018 11:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:20,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:25,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:30,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:35,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:40,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:45,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:50,0,0,0,0,0,0,0,0,0,0
02/05/2018 12:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 13:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 13:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 13:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 13:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 13:20,0,0,0,0,0,0,0,0,0,0
